input_size,compilation_time,execution_time,memory_usage
1,0.8664,145,41852928
2,0.8108,292,42033152
3,0.8633,444,42160128
4,0.8075,583,42364928
5,0.8311,738,42688512
6,0.8262,903,43081728
7,0.9357,1041,43544576
8,0.9197,1290,44019712
9,0.9823,1341,43995136
10,0.9425,1473,
11,1.0235,1636,
12,0.9284,1765,
13,0.9273,1973,
14,1.0337,2087,
15,1.0129,2210,
16,0.9669,2372,
17,1.0574,2545,
18,1.0452,2647,
19,1.0269,2814,
20,1.0387,2971,
21,1.0649,3664,
22,1.3542,3469,
23,1.5643,3488,
24,1.1309,3568,
25,1.1786,3774,
26,1.5452,4005,
27,1.2139,3989,
28,1.1758,4208,
29,1.2415,4343,
30,1.3232,4472,
